Tweets,Subjectivity,Polarity,Analysis,AnalysisValue
"“I would like to thank all those who have made this possible”

UK PM Boris Johnson welcomes the news of the Pfizer/BioNTech Covid vaccine being approved in the UK saying it will allow us to reclaim our lives and get our economy moving again”

 ",1,0,0.5,neutral
"“The safety of the public will always come first”

Dr June Raine Chief Executive of UK medicine regulator MHRA speaks about the UK’s approval of the Pfizer/BioNTech vaccine “following the most rigorous scientific assessment”

 ",0.25,0.1875,1,positive
"Hong Kong democracy activists Joshua Wong Agnes Chow and Ivan Lam sentenced to jail for involvement in mass protests last year 
",0.033333333,-0.05,0,negative
"I'm very proud that the UK is the first place in the world to have a clinically authorised vaccine

Health Secretary Matt Hancock says he's thrilled the Pfizer/BioNTech coronavirus vaccine has been approved for widespread use

 ",0.677777778,0.616666667,1,positive
"UK becomes the first country in the world to approve the Pfizer/BioNTech coronavirus vaccine for widespread use

",0.333333333,0.25,1,positive
US Attorney General William Barr says Justice Department has found no evidence of widespread fraud that could have changed 2020 election outcome ,0.5,0.05,1,positive
"China says its robotic Chang’e5 mission has successfully touched down on the Moon

The probe will collect samples of rock and dust to bring back to Earth

",0.359722222,0.123611111,1,positive
"Debenhams stores set to close putting 12000 jobs at risk as rescue hopes fade for 242yearold UK retailer

",0,0,0.5,neutral
"RT BCSport: Lewis Hamilton will miss this weekend's Sakhir Grand Prix in Bahrain after testing positive for coronavirus.

More: ",0.681818182,0.409090909,1,positive
Topshop Burton and Dorothy Perkins owner UK retail giant Arcadia goes into administration  with 13000 jobs at risk ,1,0,0.5,neutral
Iran's most senior nuclear scientist assassinated near the capital Tehran country's defence ministry says ,0.45,0.3,1,positive
R number of Covid19 falls below 1 in UK for first time since August indicating epidemic is no longer growing ,0.333333333,0.25,1,positive
England's latest coronavirus tiers are announced with Liverpool and London in tier two and Manchester in tier three ,0.9,0.5,1,positive
"President Trump pardons his former top security adviser Michael Flynn who had pleaded guilty to lying to the FBI

",0.5,0,0.5,neutral
"Diego Maradona was one of football's most gifted players

The Argentine boasted a rare combination of flair flamboyance vision and speed which mesmerised fans

Obituary: ",0.8,0.433333333,1,positive
Diego Maradona Argentina football legend and one of the greatest players of all time dies at 60 ,1,1,1,positive
"Iran releases BritishAustralian academic Kylie MooreGilbert in prisoner swap deal Iranian state media say

 ",0,0,0.5,neutral
"Number of unemployed people in the UK expected to peak at 2.6 million next year Chancellor Rishi Sunak says

",0.2,-0.05,0,negative
"UK government set to borrow £394bn this year the highest amount ever in peacetime history to help deal with coronavirus pandemic

",0,0,0.5,neutral
"“All the governments agreed that we should balance the need to protect public health with also allowing people to be with their loved ones”

UK Cabinet Officer Michael Gove outlines plans for Christmas restrictions

 ",0.433333333,0.35,1,positive
Up to three UK households can meet indoors during a fiveday Christmas period of 2327 December government leaders agree ,0,0,0.5,neutral
Harry Dunn's parents lose High Court battle against UK Foreign Office over whether their son's alleged killer had diplomatic immunity at time of crash in 2019 ,0.255,-0.021666667,0,negative
US President Donald Trump accepts that the formal transition to Joe Biden's White House can finally begin ,0.5,0,0.5,neutral
RT BCSport: A maximum of 4000 fans are to be allowed at outdoor events in the lowestrisk areas when the national lockdown in England en…,0,0,0.5,neutral
Covid19 vaccine developed by the University of Oxford is 70 effective large scale trial shows ,0.50952381,0.304761905,1,positive
England to enter tougher threetier system of Covid restrictions when national lockdown ends on 2 December ,0,0,0.5,neutral
Coronavirus infection rates are levelling off in England and Scotland and decreasing in Wales and Northern Ireland ONS data suggests ,0,0,0.5,neutral
"UK PM's adviser on ministerial code resigns as Boris Johnson backs Home Secretary Priti Patel after bullying inquiry

 ",0,0,0.5,neutral
Draft report says UK Home Secretary Priti Patel broke rules on ministerial behaviour sources tell BBC ,0,0,0.5,neutral
"Oxford coronavirus vaccine shows encouraging immune response from people in their 60s and 70s in trial results raising hopes it can protect those most at risk of illness from virus

",0.5,0.5,1,positive
Coronavirus vaccine by Pfizer and BioNTech 94 effective in adults aged over 65 latest trial suggests ,0.7,0.333333333,1,positive
UK's Labour party reinstates former leader Jeremy Corbyn following his suspension last month BBC understands ,0.055555556,0,0.5,neutral
Businessman who acted as a gobetween to secure PPE for NHS staff was paid £21m in UK taxpayer cash court documents show ,0.6,0.4,1,positive
Covid19 vaccine developed in US nearly 95 effective early data suggests adding to growing confidence vaccines can help end pandemic ,0.466666667,0.266666667,1,positive
Four astronauts take off from Florida on the first “routine” mission to the space station aboard a SpaceX rocket ,0.333333333,0.25,1,positive
PM Boris Johnson selfisolating after contact with someone who tested positive for Covid19 Downing Street says ,0.545454545,0.227272727,1,positive
"RT BCSport: Dustin Johnson wins The Masters! ??????

A stunning display to claim the green jacket with a record 20 under par! ???

?? Highligh…",0.5,0.208333333,1,positive
"Entertainer Des O'Connor has died at the age of 88 his agent confirms

 ",0,0,0.5,neutral
UK Prime Minister Boris Johnson's adviser Dominic Cummings leaves Number 10 Downing Street with immediate effect  ,0,0,0.5,neutral
"RT BCSport: SCOTLAND HAVE DONE IT! ??????????????

Aleksandar Mitrovic misses the crucial spot kick.

Scotland beat Serbia 54 on penalties and…",1,0,0.5,neutral
Number of new UK coronavirus cases hits 33470  the highest daily figure recorded in the country since the outbreak began ,0.227272727,0.068181818,1,positive
Former boxer Nicola Adams leaves Strictly Come Dancing after her partner Katya Jones tests positive for Covid19 ,0.272727273,0.113636364,1,positive
"UK economy bounces back from recession with 15.5 growth in July to September but GDP remains below preCovid level

 ",0,0,0.5,neutral
Four Hong Kong opposition lawmakers are disqualified after Beijing ruling ,0,0,0.5,neutral
RT BCSport: Greg Clarke has resigned as Football Association chairman following the language he used in a reference to black players when…,0.266666667,-0.083333333,0,negative
UK unemployment rate rises to 4.8 in three months to September up from 4.5 as effects of coronavirus continue ,0,0,0.5,neutral
Armenia Azerbaijan and Russia sign peace deal to end fighting in NagornoKarabakh ,0,0,0.5,neutral
UK PM Boris Johnson says coronavirus vaccine has cleared significant hurdle but warns of several more hurdles to come ,0.458333333,0.291666667,1,positive
Covid19 vaccine more than 90 effective in preventing disease in preliminary results says drugs firm Pfizer ,0.566666667,0.3,1,positive
"Prince Charles lays a wreath on behalf of the Queen at RemembranceSunday commemorations as the UK remembers those who lost their lives in conflicts

 ",0,0,0.5,neutral
"“I’m humbled by the trust and confidence you’ve placed in me… I pledge to be a president who seeks not to divide but to unify”

PresidentElect Joe Biden speaks to rapturous crowds in Delaware 

Election2020  ",0,0,0.5,neutral
"“When our very democracy was on the ballot in this election with the very soul of America at stake… you ushered in a new day for America”

VicePresidentElect Kamala Harris addresses crowds of supporters in Wilmington Delaware 

Election2020  ",0.351515152,0.178787879,1,positive
"“This election is about so much more than Joe Biden or me. It’s about the soul of America and our willingness to fight for it”

Kamala Harris makes history as the first female black and Asian American vicepresidentelect of the US

",0.238888889,0.097222222,1,positive
"Joe Biden wins US presidential election

BBC projects he’s secured enough electoral college votes to defeat Donald Trump

Election2020  ",0.35,0.15,1,positive
Actor Johnny Depp quits cast of Fantastic Beasts film franchise after losing libel case over claims he beat exwife Amber Heard ,0.9,0.4,1,positive
Actor Geoffrey Palmer who starred in British sitcoms Butterflies and As Time Goes By in TV career spanning seven decades has died ,0,0,0.5,neutral
Passengers arriving in the UK from 04:00 GMT on Friday will need to selfisolate for 14 days the government says ,0,0,0.5,neutral
"Donald Trump accuses political rivals of trying to “steal” the election without any credible evidence

Votes are still being counted in Election2020

 ",0.4,0.2,1,positive
UK Chancellor Rishi Sunak extends furlough scheme until the end of March ,0,0,0.5,neutral
UK supermarket chain Sainsbury's to cut 3500 jobs with closure of meat fish and deli counters and 420 Argos stores ,0,0,0.5,neutral
"Joe Biden projected to win Michigan taking his electoral college total to 243

Election2020  ",0.575,0.4,1,positive
"Donald Trump projected to win Texas  Joe Biden had been hoping to claim an historic victory in the state

Election2020  ",0.2,0.4,1,positive
"Donald Trump projected to win Florida – key battleground state where result was uncertain

Election2020  ",0.7,0.4,1,positive
"UK terrorism threat level raised to severe meaning an attack is highly likely

 ",1,0,0.5,neutral
Actor Johnny Depp loses libel case against the Sun newspaper after the tabloid described him as a wifebeater ,0.1,-0.3,0,negative
Prince William contracted Covid19 in April at a similar time to his father Prince Charles palace sources tell BBC ,0.4,0,0.5,neutral
England win Six Nations after France beat Ireland on final day of delayed rugby union tournament ,0.7,0.4,1,positive
"“From Thursday until the start of December you must stay at home you may only leave home for specific reasons”

Boris Johnson announces an Englandwide lockdown saying “Now is the time to take action because there is no alternative”

 ",0.408333333,0.033333333,1,positive
UK PM Boris Johnson is set to announce lockdown measures lasting a month in England sources have told the BBC ,0,0,0.5,neutral
Obituary: Sir Sean Connery the awardwinning actor who will be forever identified with 007 ,0,0,0.5,neutral
Sir Sean Connery the actor who defined James Bond has died aged 90 ,0.4,-0.1,0,negative
"RT BCSport: World Cupwinning England midfielder Nobby Stiles has died aged 78.

More:  ",0.45,0.2,1,positive
"Earthquake with a magnitude of 7.0 shakes Greek island of Samos and Turkey's Aegean coast US Geological Survey says 

 ",0,0,0.5,neutral
New Zealand votes to legalise euthanasia for terminally ill people preliminary referendum results show ,0.727272727,-0.181818182,0,negative
West Yorkshire to be placed under strictest level of Covid restrictions from Monday ,0,0,0.5,neutral
Labour Party suspends former leader Jeremy Corbyn following his response to report into antiSemitism within the party ,0.05,0,0.5,neutral
"UK's Labour Party was responsible for antiSemitic discrimination and broke human equality laws human rights watchdog rules

 ",0.25,0.066666667,1,positive
Two women dead and man in critical condition following knife attack in Nice France in what is being described as a terror incident ,0.575,0.1,1,positive
Cannon &amp; Ball star Bobby Ball dies aged 76 after testing positive for Covid19 ,0.472727273,0.063636364,1,positive
France to enter second national lockdown from Friday with more businesses forced to shut but schools to stay open the president says ,0.3,0.05,1,positive
Family who died after boat sank in English Channel were KurdishIranian their 15monthold baby is still missing ,0.025,-0.1,0,negative
"Two children aged five and eight among four dead after boat carrying migrants sank in the English Channel French officials say

",0.2,-0.075,0,negative
At least seven dead and more than 50 injured after explosion at religious school in Pakistan – officials now say those killed were aged between 20 and 30 ,0.325,-0.05,0,negative
Bomb blast at religious school in Pakistani city of Peshawar leaves at least four dead including children ,0.35,-0.166666667,0,negative
US Senate confirms Donald Trump's pick for the vacant Supreme Court seat Amy Coney Barrett by 52 votes to 48 ,0,0,0.5,neutral
Police dealing with ongoing incident on board an oil tanker off the Isle of Wight UK ,0,0,0.5,neutral
South Yorkshire to move to highest Tier 3 coronavirus restrictions from Saturday Sheffield City Region mayor says ,0,0,0.5,neutral
"Greater Manchester to move to Tier 3 coronavirus restrictions from Friday after failure to reach a deal with local leaders UK PM Boris Johnson confirms 

 ",0.266666667,0.061111111,1,positive
"Wales to go into short sharp lockdown from Friday until 9 November with people told to stay home while nonessential shops among businesses to close

 ",0.525,-0.0625,0,negative
"RT BCSport: FT: Exeter 3127 Racing 

From the Championship to champions of Europe in 10 years.

Exeter Chiefs what a ride it has been!…",0,0,0.5,neutral
Boris Johnson says Manchester Covid spread is grave and he may need to intervene if new measures are not agreed ,0.454545455,0.136363636,1,positive
Travellers returning to UK from Italy will have to selfisolate for two weeks as of Sunday at 4am government says ,0,0,0.5,neutral
London will have tougher Covid restrictions from Saturday onwards moving from Tier 1 to Tier 2 local MPs told  ,0,0,0.5,neutral
"Donald and Melania Trump's son Barron 14 contracted Covid19 but has since tested negative first lady says

 ",0.366666667,-0.025,0,negative
French President Macron announces a 21:00 to 06:00 curfew for Paris and eight other cities starting on Saturday ,0.158333333,-0.041666667,0,negative
School restaurant and pub closures announced as part of new Northern Ireland coronavirus measures ,0.454545455,0.136363636,1,positive
"UK unemployment rate rises to 4.5 in three months to August as pandemic continues to hit jobs

 ",0,0,0.5,neutral
"RT BCSport: The King of Clay ??

Rafael Nadal beats Novak Djokovic 60 62 75

It's a recordextending 13th French Open title and record…",0.166666667,0,0.5,neutral
"RT BCSport: LEWIS HAMILTON HAS DONE IT!

HISTORY.

He's equalled Michael Schumacher's record for F1 race wins!

9??1??

EifelGP LIVE:…",0.2,0.375,1,positive
Armenia and Azerbaijan agree ceasefire in NagornoKarabakh region after talks in Moscow  Russian foreign minister ,0.0625,-0.0625,0,negative
Queen recognises Covid heroes alongside footballer Marcus Rashford and lockdown 'PE teacher' Joe Wicks in delayed birthday honours ,0,0,0.5,neutral
"“I hope that this provides reassurance and a safety net for people and businesses in advance of what may be a difficult winter”

Chancellor Rishi Sunak says UK workers will get twothirds pay from government if firms shut due to coronavirus restrictions

 ",0.458333333,-0.208333333,0,negative
"Workers at firms forced to close by Covid restrictions will get twothirds of wages paid by UK government Chancellor Rishi Sunak announces

 ",0.2,-0.3,0,negative
"Nobel Peace Prize for 2020 goes to the UN World Food Programme for its efforts in fighting hunger

",0,0,0.5,neutral
The UK economy expanded by 2.1 in August below expectations despite the government's Eat Out to Help Out scheme ,0,0,0.5,neutral
"I'm not going to waste my time

US President Donald Trump refuses to take part in proposed virtual presidential debate

",0,-0.2,0,negative
"Two exBritish alleged Islamic State militants from socalled Beatles cell charged in US over deaths of four American hostages

",0.05,-0.05,0,negative
"All pubs and restaurants across central Scotland to close under new measures aimed at tackling surge in coronavirus cases 

",0.352272727,0.068181818,1,positive
Guitarist Eddie Van Halen founder of rock group Van Halen dies from cancer aged 65 ,0.4,-0.1,0,negative
The Church of England failed to protect children from sexual abuse and created a culture where abusers could hide a report has concluded ,0.566666667,0,0.5,neutral
President Trump leaves Walter Reed military hospital to continue Covid19 treatment at White House ,0.05,-0.05,0,negative
Donald Trump says he will leave hospital later on Monday  follow our updates ,0,0,0.5,neutral
"White House press secretary Kayleigh McEnany becomes latest Trump aide to test positive for coronavirus

 ",0.481818182,0.242424242,1,positive
"President Trump being treated with steroid after drop in oxygen level but may leave hospital on Monday his doctor says 

 ",0,0,0.5,neutral
"President Trump is doing very well and is in exceptionally good spirits after spending the night in hospital his doctor says

Latest:  ",0.6,0.466666667,1,positive
US President Donald Trump is being taken to hospital less than 24 hours after testing positive for coronavirus ,0.306060606,0.03030303,1,positive
Donald Trump and US First Lady test positive for coronavirus ,0.439393939,0.238636364,1,positive
President Trump says he and his wife will quarantine after close aide Hope Hicks tested positive for coronavirus ,0.545454545,0.227272727,1,positive
Armenia says one of its fighter jets was shot down by Turkey and the pilot killed amid NagornoKarabakh conflict  ,0.144444444,-0.177777778,0,negative
Kuwait's Emir Sheikh Sabah alSabah dies aged 91 ,0.4,-0.1,0,negative
Worldwide coronavirus death toll passes one million according to figures from Johns Hopkins University ,0,0,0.5,neutral
Suspect in murder of Sgt Matiu Ratana is 23yearold Louis De Zoysa from Norbury south London BBC has been told ,0,0,0.5,neutral
US President Donald Trump nominates Amy Coney Barrett a favourite of social conservatives to be the new Supreme Court justice ,0.260606061,0.084848485,1,positive
Tributes paid to talented police officer Sgt Matt Ratana 54 shot dead at custody centre in south London ,0.65,0.25,1,positive
Police officer shot dead at Croydon police station in south London ,0.4,-0.2,0,negative
"Kim Jongun has apologised for killing of South Korean official South says in highly unusual move for North Korea
",1,0.2,1,positive
UK government to top up wages of workers covering up to twothirds of their hours for next six months Chancellor Rishi Sunak announces ,0.25,0.25,1,positive
Expolice officer Brett Hankison charged with three counts of wanton endangerment over shots fired into neighbouring apartment during raid where Breonna Taylor was shot ,0,0,0.5,neutral
US grand jury indicts one police officer over fatal shooting of black woman Breonna Taylor in her home in Kentucky ,0.716666667,0.166666667,1,positive
"PM calls for resolve and discipline to fight Covid19  but warns further measures may be needed if rules are not followed

",0.5,0,0.5,neutral
More than 200000 people have died with coronavirus in the US the world’s worst hit country as cases continue to rise rapidly in several states ,0.5,-0.166666667,0,negative
"Republicans secure numbers to move forward with voting on President Trump's candidate to replace Supreme Court Justice Ruth Bader Ginsburg who died on Friday
",0.6,0.4,1,positive
Office workers told to stay at home if they can and weddings to be limited to 15 says Prime Minister Boris Johnson as he tightens restrictions for England for up to six months ,0.142857143,-0.071428571,0,negative
Pubs and restaurants in England must have a 10pm closing time from Thursday in battle against coronavirus PM to say ,0,0,0.5,neutral
Leaked documents reveal some of the world’s biggest banks allowed criminals to move dirty money around the world  ,0.8,-0.6,0,negative
"US Supreme Court Justice Ruth Bader Ginsburg the historymaking jurist feminist icon and national treasure has died aged 87.

A trailblazer for women's rights she became only the second woman to sit on the country's highest court. 

 ",0.466666667,-0.033333333,0,negative
US Supreme Court Judge Ruth Bader Ginsburg dies aged 87 after suffering from pancreatic cancer ,0.4,-0.1,0,negative
Second wave of Covid19 infections coming to UK PM Boris Johnson says ,0,0,0.5,neutral
Tighter restrictions announced for Lancashire Merseyside and West Yorkshire after rise in Covid19 cases ,0,0,0.5,neutral
Nearly two million people in parts of northeast England to face tougher restrictions with a ban on households mixing from Friday ,0.4,0.1,1,positive
Sharp decline in coronavirus test turnaround speed in England with only 33 getting results in 24 hours ,0.875,-0.0625,0,negative
UK's inflation rate fell to 0.2 in August as Eat Out to Help Out scheme pushed down restaurant prices ,0.288888889,-0.155555556,0,negative
Number of employees on UK payrolls shrank by 695000 in August as jobs cut ahead of winding down of government's Job Retention Scheme ,0.288888889,-0.155555556,0,negative
Astronomers exploring whether gas discovery on Venus indicates organisms are living in planet's clouds ,0,0,0.5,neutral
Japan's next PM set to be Chief Cabinet Secretary Yoshihide Suga after ruling party picks him to succeed Shinzo Abe ,0,0,0.5,neutral
Sir Terence Conran the British designer who revolutionised retail and decor has died aged 88 ,0.2,-0.05,0,negative
R number which measures coronavirus spread rises above 1 in UK figures show ,0.1,0,0.5,neutral
Russian group which hacked 2016 Democratic campaign are again targeting US election says Microsoft ,0,0,0.5,neutral
"Travellers arriving in England from mainland Portugal will have to selfisolate for two weeks from Saturday UK government announces
",0,0,0.5,neutral
"Actress Dame Diana Rigg known for roles from The Avengers to Games of Thrones dies aged 82

",0.4,-0.1,0,negative
US to withdraw more than a third of its troops from Iraq within weeks its top Middle East commander says ,0.25,0.25,1,positive
Social gatherings of more than six people to be banned by law in England from Monday amid rise in coronavirus cases ,0.283333333,0.266666667,1,positive
27yearold man charged with murder and seven counts of attempted murder over stabbings in Birmingham city centre ,0,0,0.5,neutral
"People arriving in England from seven Greek islands will now need to quarantine for 14 days from 04:00 BST on Wednesday
",0,0,0.5,neutral
Russia's poisoned opposition figure Alexei Navalny out of induced coma and his condition has improved Berlin hospital says ,0,-0.1,0,negative
Man 27 arrested on suspicion of murder and seven counts of attempted murder after stabbings in Birmingham ,0,0,0.5,neutral
Russian opposition politician Alexei Navalny was poisoned with Novichok nerve agent German government says ,0,0,0.5,neutral
Restrictions on visiting other households being reintroduced in Glasgow area of Scotland after rise in coronavirus cases ,0.375,-0.125,0,negative
US actor Chadwick Boseman best known for his role in Black Panther has died of cancer his family say ,0.366666667,0.416666667,1,positive
Japanese Prime Minister Shinzo Abe 'set to resign for health reasons' ,0,0,0.5,neutral
Travellers in Switzerland Jamaica and Czech Republic must quarantine on return to the UK from 0400 on Saturday ,0,0,0.5,neutral
White supremacist who killed 51 at Christchurch mosques last year is sentenced to life in prison without parole ,0.022222222,-0.066666667,0,negative
Teenager charged with murder over deaths of protesters in Wisconsin US as President Trump sends federal reinforcements  ,0,0,0.5,neutral
"Face coverings to be mandatory for England’s secondary schools in lockdown areas if social distancing isn’t possible
",0.455555556,-0.088888889,0,negative
"Manchester United captain Harry Maguire given suspended sentence of 21 months and 10 days in prison after trial on Greek island of Syros

",0,0,0.5,neutral
Manchester United captain Harry Maguire found guilty of repeated bodily harm attempted bribery violence against public employees and insult after his arrest on Greek island of Mykonos ,0.233333333,-0.11,0,negative
"RT BCSport: Incredible ??

England's James Anderson has become the first fast bowler to reach 600 Test wickets.

??",0.611111111,0.45,1,positive
Africa is now free of polio international body says  the disease once paralysed thousands of children on the continent ,0.4,0.2,1,positive
"Head of exams regulator in England to step down following chaos of this year’s Alevel and GCSE results
 ",0.194444444,-0.077777778,0,negative
Russian opposition leader Alexei Navalny was probably poisoned says Berlin hospital where he is being treated ,0,0,0.5,neutral
"RT BCSport: BAYERN MUNICH HAVE DONE IT! ??????

European champions for a sixth time!

????????????

?? Reaction: 

bbcfootb…",0,0,0.5,neutral
UK tourists will no longer need to quarantine when returning from Portugal but travellers coming back from Croatia will ,0,0,0.5,neutral
Former Trump adviser Steve Bannon charged with fraud over fundraising campaign to build USMexico border wall ,0,0,0.5,neutral
Hashem Abedi brother of Manchester Arena bomber sentenced to at least 55 years for murders of 22 people in 2017 terrorist attack ,0.4,-0.3,0,negative
GCSE pass rate in England sees historic rise from 70 to 79 after government Uturn on how grades are assessed ,0,0,0.5,neutral
Nearly half a million UK pupils face fresh round of chaos after exam board Pearson pulls BTec results on eve of release ,0.355555556,-0.022222222,0,negative
At least 45 migrants have died in the largest shipwreck off Libya's coast this year the UN says ,0.4,-0.3,0,negative
Mali's President Ibrahim Boubacar Keïta has resigned after being detained by soldiers on Tuesday state TV reports ,0,0,0.5,neutral
Mali President Ibrahim Boubacar Keïta and Prime Minister Boubou Cissé arrested by mutinying soldiers in apparent coup attempt ,0.35,0.05,1,positive
"One man found guilty and three acquitted over killing of former Lebanese PM Rafik Hariri in 2005 bomb attack

",0.5,-0.25,0,negative
"Marks &amp; Spencer to cut 7000 jobs in UK over next three months as coronavirus continues to affect trading

 ",0,0,0.5,neutral
"What changed was seeing the experience of young people receiving grades and being distressed at the need to then have to go and appeal grades

Ofqual chairman Roger Taylor says exam regulator took the wrong road on Alevel and GCSE grading
 ",0.65,-0.2,0,negative
"Alevel and GCSE students in England will have results based on teacher assessments after Uturn

",0,0,0.5,neutral
"Alevel and GCSE results in Wales to be based on teacher assessments after uproar over grades 

",0,0,0.5,neutral
"Tougher fines for coronavirus rulebreakers announced as UK Prime Minister gives go ahead for next stage of lockdown easing in England

",0,0,0.5,neutral
People arriving in the UK from France after 04:00 BST on Saturday will have to quarantine for 14 days minister says ,0,0,0.5,neutral
Israel and the United Arab Emirates reach historic deal aimed at normalising relations between the nations ,0,0,0.5,neutral
Education Secretary Gavin Williamson 'incredibly sorry' over disruption to schools in England during the pandemic ,1,-0.5,0,negative
"Three people confirmed dead including driver after train derails in Aberdeenshire Scotland 

 ",0.7,0.1,1,positive
UK has officially fallen into recession for first time in 11 years due to the impact of the coronavirus pandemic ,0.354166667,0.0625,1,positive
"Democratic presidential candidate Joe Biden names Senator Kamala Harris as his running mate  the first black woman to serve in the role
",0.383333333,0.041666667,1,positive
Tens of thousands of school pupils in Scotland to have their exam results upgraded after outcry over initial grades ,0,0,0.5,neutral
Employment in the UK fell by the largest amount in over a decade between May and July official figures show. ,0,0,0.5,neutral
"US President Donald Trump leaves news conference after reports of shooting outside White House 
 ",0.025,0,0.5,neutral
"Lebanon's government resigns in response to anger over deadly port explosion which devastated parts of the capital Beirut
",0.3,-0.45,0,negative
At least two dead including the pilot after Air India Express plane skids off runway and breaks in two at airport in Kerala BBC has been told ,0.4,-0.25,0,negative
Air India Express plane broke into two pieces after skidding off end of runway Indian aviation officials say ,0,0,0.5,neutral
Air India Express plane with nearly 200 people on board skids off runway at Kozhikode airport in Kerala  Indian media report ,0.4,0.1,1,positive
US imposes sanctions on Hong Kong chief executive Carrie Lam and other top officials for undermining territory's autonomy ,0.4375,0.1875,1,positive
US President Donald Trump signs an executive order to address the 'threat' of TikTok ,0,0,0.5,neutral
